"uid","createdatetime","updatedatetime","emm_manifestation_uid","episode_uid","parent_manifestation_id","manifestationclass","emm_parent_uid","title","entity_type","eidrid","structuraltype","referenttype","actual_length","edit_use","edit_class","audio_closedcaption","audio_type","video_vchip","video_ei","published_status","deletedatetime","is_deleted","title_old","title_old2","video_hidef","additional_data_created_by","additional_data_updated_by","additional_data_deleted_by","additional_data_source","contentid_list","release_date"
"105201","2019-06-24 20:19:24.584685","2024-02-01 15:31:25.463411","cid:org:pbs.org:Broadview-4039953","5",NULL,"SD","cid:org:pbs.org:Broadview-3190980","P100091-001 SD-Base AMERICA'S BATTLEGROUNDS","Manifestation",NULL,"Performance","TV","PT0H56M46S","Broadcast","Original","EN","Stereo","",False,"In Progress",NULL,False,"AMERICA'S BATTLEGROUNDS","P100091-001_SD-Base_AMERICA'S BATTLEGROUNDS",NULL,NULL,NULL,NULL,NULL,"[{""ContentID"": ""cid:org:pbs.org:PackageType:SD-Base""}, {""ContentID"": ""cid:org:pbs.org:PackageNumber:P100091-001""}, {""ContentID"": ""cid:org:pbs.org:Broadview-4039953""}, {""ContentID"": ""cid:org:pbs.org:PackageCode:SDBA""}]",NULL
"17305","2019-06-24 18:56:33.617236","2024-02-01 15:31:25.463411","cid:org:pbs.org:Broadview-4040019","6",NULL,"Main","cid:org:pbs.org:Broadview-3190990","P100103-001 SD-Stacked America Beyond the Color Line with Henry Louis Gates Jr.","Manifestation",NULL,"Performance","TV","PT1H54M39S","Broadcast","Main","EN","Stereo","TV-PG+L",False,"In Progress",NULL,False,"America Beyond the Color Line with Henry Louis Gates Jr.","P100103-001_SD-Stacked_America Beyond the Color Line with Henry Louis Gates Jr.",NULL,NULL,NULL,NULL,NULL,"[{""ContentID"": ""cid:org:pbs.org:PackageType:SD-Stacked""}, {""ContentID"": ""cid:org:pbs.org:PackageNumber:P100103-001""}, {""ContentID"": ""cid:org:pbs.org:Broadview-4040019""}, {""ContentID"": ""cid:org:pbs.org:PackageCode:SDST""}]",NULL
"17304","2019-06-24 18:56:33.562652","2024-02-01 15:31:25.463411","cid:org:pbs.org:Broadview-4040015","6",NULL,"SD","cid:org:pbs.org:Broadview-3190990","P100102-001 SD-Base America Beyond the Color Line with Henry Louis Gates Jr.","Manifestation",NULL,"Performance","TV","PT0H56M46S","Broadcast","Original","EN","Stereo","TV-PG+L",False,"Internally Published",NULL,False,"America Beyond the Color Line with Henry Louis Gates Jr.","P100102-001_SD-Base_America Beyond the Color Line with Henry Louis Gates Jr.",NULL,NULL,NULL,NULL,NULL,"[{""ContentID"": ""cid:org:pbs.org:PackageType:SD-Base""}, {""ContentID"": ""cid:org:pbs.org:PackageNumber:P100102-001""}, {""ContentID"": ""cid:org:pbs.org:Broadview-4040015""}, {""ContentID"": ""cid:org:pbs.org:PackageCode:SDBA""}]",NULL
"125500","2019-06-24 20:38:30.11678","2024-02-01 15:31:25.463411","cid:org:pbs.org:Broadview-4040023","7",NULL,"SD","cid:org:pbs.org:Broadview-3190991","P100104-001 SD-Base America Beyond the Color Line with Henry Louis Gates Jr.","Manifestation",NULL,"Performance","TV","PT0H56M45S","Broadcast","Original","EN","Stereo","TV-PG+L",False,"Internally Published",NULL,False,"America Beyond the Color Line with Henry Louis Gates Jr.","P100104-001_SD-Base_America Beyond the Color Line with Henry Louis Gates Jr.",NULL,NULL,NULL,NULL,NULL,"[{""ContentID"": ""cid:org:pbs.org:PackageType:SD-Base""}, {""ContentID"": ""cid:org:pbs.org:PackageNumber:P100104-001""}, {""ContentID"": ""cid:org:pbs.org:Broadview-4040023""}, {""ContentID"": ""cid:org:pbs.org:PackageCode:SDBA""}]",NULL
"83055","2019-06-24 19:58:33.362797","2024-02-01 15:31:25.463411","cid:org:pbs.org:Broadview-4040031","8",NULL,"Main","cid:org:pbs.org:Broadview-3190992","P100106-001 SD-Stacked America Beyond the Color Line with Henry Louis Gates Jr.","Manifestation",NULL,"Performance","TV","PT1H54M39S","Broadcast","Main","EN","Stereo","TV-PG+L",False,"In Progress",NULL,False,"America Beyond the Color Line with Henry Louis Gates Jr.","P100106-001_SD-Stacked_America Beyond the Color Line with Henry Louis Gates Jr.",NULL,NULL,NULL,NULL,NULL,"[{""ContentID"": ""cid:org:pbs.org:PackageType:SD-Stacked""}, {""ContentID"": ""cid:org:pbs.org:PackageNumber:P100106-001""}, {""ContentID"": ""cid:org:pbs.org:Broadview-4040031""}, {""ContentID"": ""cid:org:pbs.org:PackageCode:SDST""}]",NULL
"83054","2019-06-24 19:58:33.305754","2024-02-01 15:31:25.463411","cid:org:pbs.org:Broadview-4040027","8",NULL,"SD","cid:org:pbs.org:Broadview-3190992","P100105-001 SD-Base America Beyond the Color Line with Henry Louis Gates Jr.","Manifestation",NULL,"Performance","TV","PT0H56M46S","Broadcast","Original","EN","Stereo","TV-PG+L",False,"Internally Published",NULL,False,"America Beyond the Color Line with Henry Louis Gates Jr.","P100105-001_SD-Base_America Beyond the Color Line with Henry Louis Gates Jr.",NULL,NULL,NULL,NULL,NULL,"[{""ContentID"": ""cid:org:pbs.org:PackageType:SD-Base""}, {""ContentID"": ""cid:org:pbs.org:PackageNumber:P100105-001""}, {""ContentID"": ""cid:org:pbs.org:Broadview-4040027""}, {""ContentID"": ""cid:org:pbs.org:PackageCode:SDBA""}]",NULL
"17306","2019-06-24 18:56:33.670052","2024-02-01 15:31:25.463411","cid:org:pbs.org:Broadview-4040035","9",NULL,"SD","cid:org:pbs.org:Broadview-3190993","P100107-001 SD-Base America Beyond the Color Line with Henry Louis Gates Jr.","Manifestation",NULL,"Performance","TV","PT0H56M45S","Broadcast","Original","EN","Stereo","TV-PG+L",False,"Internally Published",NULL,False,"America Beyond the Color Line with Henry Louis Gates Jr.","P100107-001_SD-Base_America Beyond the Color Line with Henry Louis Gates Jr.",NULL,NULL,NULL,NULL,NULL,"[{""ContentID"": ""cid:org:pbs.org:PackageType:SD-Base""}, {""ContentID"": ""cid:org:pbs.org:PackageNumber:P100107-001""}, {""ContentID"": ""cid:org:pbs.org:Broadview-4040035""}, {""ContentID"": ""cid:org:pbs.org:PackageCode:SDBA""}]",NULL
"125501","2019-06-24 20:38:30.171583","2024-02-01 15:31:25.463411","cid:org:pbs.org:Broadview-4040041","10",NULL,"Main","cid:org:pbs.org:Broadview-3190994","P100108-001 SD-Pledge Show Must Go On, A Christmas in Mouseland (Angelina Ballerina), The","Manifestation",NULL,"Performance","TV","PT0H42M5S","Broadcast","Main","EN","Stereo","TV-Y",False,"In Progress",NULL,False,"Show Must Go On, A Christmas in Mouseland (Angelina Ballerina), The","P100108-001_SD-Pledge_Show Must Go On, A Christmas in Mouseland (Angelina Ballerina), The",NULL,NULL,NULL,NULL,NULL,"[{""ContentID"": ""cid:org:pbs.org:PackageType:SD-Pledge""}, {""ContentID"": ""cid:org:pbs.org:PackageNumber:P100108-001""}, {""ContentID"": ""cid:org:pbs.org:Broadview-4040041""}, {""ContentID"": ""cid:org:pbs.org:PackageCode:SDPL""}]",NULL
"125502","2019-06-24 20:38:30.224645","2024-02-01 15:31:25.463411","cid:org:pbs.org:Broadview-4040045","10",NULL,"Main","cid:org:pbs.org:Broadview-3190994","P100109-001 SD-Pledge Event Show Must Go On, A Christmas in Mouseland (Angelina Ballerina), The","Manifestation",NULL,"Performance","TV","PT0H56M54S","Broadcast","Main","EN","Stereo","TV-Y",False,"In Progress",NULL,False,"Show Must Go On, A Christmas in Mouseland (Angelina Ballerina), The","P100109-001_SD-Pledge Event_Show Must Go On, A Christmas in Mouseland (Angelina Ballerina), The",NULL,NULL,NULL,NULL,NULL,"[{""ContentID"": ""cid:org:pbs.org:PackageType:SD-Pledge Event""}, {""ContentID"": ""cid:org:pbs.org:PackageNumber:P100109-001""}, {""ContentID"": ""cid:org:pbs.org:Broadview-4040045""}, {""ContentID"": ""cid:org:pbs.org:PackageCode:SDPE""}]",NULL
"61405","2019-06-24 19:38:12.550152","2024-02-01 15:31:25.463411","cid:org:pbs.org:Broadview-4040071","12",NULL,"Main","cid:org:pbs.org:Broadview-3190998","P100115-001 SD-Not For Air ANDREA BOCELLI: HOMECOMING","Manifestation",NULL,"Performance","TV","PT1H2M53S","Broadcast","Main",NULL,"Stereo","E",False,"In Progress",NULL,False,"ANDREA BOCELLI: HOMECOMING","P100115-001_SD-Not For Air_ANDREA BOCELLI: HOMECOMING",NULL,NULL,NULL,NULL,NULL,"[{""ContentID"": ""cid:org:pbs.org:PackageType:SD-Not For Air""}, {""ContentID"": ""cid:org:pbs.org:PackageNumber:P100115-001""}, {""ContentID"": ""cid:org:pbs.org:Broadview-4040071""}, {""ContentID"": ""cid:org:pbs.org:PackageCode:SNFA""}]",NULL
"61406","2019-06-24 19:38:12.606965","2024-02-01 15:31:25.463411","cid:org:pbs.org:Broadview-4040075","12",NULL,"Main","cid:org:pbs.org:Broadview-3190998","P100116-001 SD-Pledge ANDREA BOCELLI: HOMECOMING","Manifestation",NULL,"Performance","TV","PT1H4M8S","Broadcast","Main","EN","Stereo","TV-G",False,"In Progress",NULL,False,"ANDREA BOCELLI: HOMECOMING","P100116-001_SD-Pledge_ANDREA BOCELLI: HOMECOMING",NULL,NULL,NULL,NULL,NULL,"[{""ContentID"": ""cid:org:pbs.org:PackageType:SD-Pledge""}, {""ContentID"": ""cid:org:pbs.org:PackageNumber:P100116-001""}, {""ContentID"": ""cid:org:pbs.org:Broadview-4040075""}, {""ContentID"": ""cid:org:pbs.org:PackageCode:SDPL""}]",NULL
"169787","2019-06-24 21:20:19.458197","2024-02-01 15:31:25.463411","cid:org:pbs.org:Broadview-4040077","13",NULL,"SD","cid:org:pbs.org:Broadview-3190999","P100117-001 SD-Base ARE YOU BEING SERVED? MARATHON WITH MRS. SLOCOMBE, THE","Manifestation",NULL,"Performance","TV","PT2H52M15S","Broadcast","Original",NULL,"Stereo","",False,"In Progress",NULL,False,"ARE YOU BEING SERVED? MARATHON WITH MRS. SLOCOMBE, THE","P100117-001_SD-Base_ARE YOU BEING SERVED? MARATHON WITH MRS. SLOCOMBE, THE",NULL,NULL,NULL,NULL,NULL,"[{""ContentID"": ""cid:org:pbs.org:PackageType:SD-Base""}, {""ContentID"": ""cid:org:pbs.org:PackageNumber:P100117-001""}, {""ContentID"": ""cid:org:pbs.org:Broadview-4040077""}, {""ContentID"": ""cid:org:pbs.org:PackageCode:SDBA""}]",NULL
"169788","2019-06-24 21:20:19.510348","2024-02-01 15:31:25.463411","cid:org:pbs.org:Broadview-4040087","15",NULL,"SD","cid:org:pbs.org:Broadview-3191002","P100119-001 SD-Base ABBEY LINCOLN, YOU GOTTA PAY THE BAND","Manifestation",NULL,"Performance","TV","PT0H58M16S","Broadcast","Original",NULL,"Stereo","",False,"In Progress",NULL,False,"ABBEY LINCOLN, YOU GOTTA PAY THE BAND","P100119-001_SD-Base_ABBEY LINCOLN, YOU GOTTA PAY THE BAND",NULL,NULL,NULL,NULL,NULL,"[{""ContentID"": ""cid:org:pbs.org:PackageType:SD-Base""}, {""ContentID"": ""cid:org:pbs.org:PackageNumber:P100119-001""}, {""ContentID"": ""cid:org:pbs.org:Broadview-4040087""}, {""ContentID"": ""cid:org:pbs.org:PackageCode:SDBA""}]",NULL
"105207","2019-06-24 20:19:24.90197","2024-02-01 15:31:25.463411","cid:org:pbs.org:Broadview-4040361","19",NULL,"SD","cid:org:pbs.org:Broadview-3191046","P199317-001 SD-Base ABORTION PILL, THE","Manifestation",NULL,"Performance","TV","PT0H56M46S","Broadcast","Original",NULL,"Stereo","",False,"In Progress",NULL,False,"ABORTION PILL, THE","P199317-001_SD-Base_ABORTION PILL, THE",NULL,NULL,NULL,NULL,NULL,"[{""ContentID"": ""cid:org:pbs.org:PackageType:SD-Base""}, {""ContentID"": ""cid:org:pbs.org:PackageNumber:P199317-001""}, {""ContentID"": ""cid:org:pbs.org:Broadview-4040361""}, {""ContentID"": ""cid:org:pbs.org:PackageCode:SDBA""}]",NULL
"105208","2019-06-24 20:19:24.95399","2024-02-01 15:31:25.463411","cid:org:pbs.org:Broadview-4040363","19",NULL,"SD","cid:org:pbs.org:Broadview-3191046","P100190-001 SD-Base ABORTION PILL, THE","Manifestation",NULL,"Performance","TV","PT0H56M47S","Broadcast","Original","EN","Stereo","",False,"In Progress",NULL,False,"ABORTION PILL, THE","P100190-001_SD-Base_ABORTION PILL, THE",NULL,NULL,NULL,NULL,NULL,"[{""ContentID"": ""cid:org:pbs.org:PackageType:SD-Base""}, {""ContentID"": ""cid:org:pbs.org:PackageNumber:P100190-001""}, {""ContentID"": ""cid:org:pbs.org:Broadview-4040363""}, {""ContentID"": ""cid:org:pbs.org:PackageCode:SDBA""}]",NULL
"40525","2019-06-24 19:18:27.800123","2024-02-01 15:31:25.463411","cid:org:pbs.org:Broadview-4040373","20",NULL,"SD","cid:org:pbs.org:Broadview-3191047","P100192-001 SD-Base Brief Flight: Hazel Ying Lee and the Women Who Flew Pursuit, A","Manifestation",NULL,"Performance","TV","PT0H56M46S","Broadcast","Original","EN","Stereo","TV-PG",False,"In Progress",NULL,False,"Brief Flight: Hazel Ying Lee and the Women Who Flew Pursuit, A","P100192-001_SD-Base_Brief Flight: Hazel Ying Lee and the Women Who Flew Pursuit, A",NULL,NULL,NULL,NULL,NULL,"[{""ContentID"": ""cid:org:pbs.org:PackageType:SD-Base""}, {""ContentID"": ""cid:org:pbs.org:PackageNumber:P100192-001""}, {""ContentID"": ""cid:org:pbs.org:Broadview-4040373""}, {""ContentID"": ""cid:org:pbs.org:PackageCode:SDBA""}]",NULL
"147491","2019-06-24 20:59:13.69373","2024-02-01 15:31:25.463411","cid:org:pbs.org:Broadview-4040375","21",NULL,"SD","cid:org:pbs.org:Broadview-3191048","P100193-001 SD-Base ABSOLUTE MONARCH, THE","Manifestation",NULL,"Performance","TV","PT0H48M47S","Broadcast","Original","EN","Stereo","",False,"In Progress",NULL,False,"ABSOLUTE MONARCH, THE","P100193-001_SD-Base_ABSOLUTE MONARCH, THE",NULL,NULL,NULL,NULL,NULL,"[{""ContentID"": ""cid:org:pbs.org:PackageType:SD-Base""}, {""ContentID"": ""cid:org:pbs.org:PackageNumber:P100193-001""}, {""ContentID"": ""cid:org:pbs.org:Broadview-4040375""}, {""ContentID"": ""cid:org:pbs.org:PackageCode:SDBA""}]",NULL
"105214","2019-06-24 20:19:25.289863","2024-02-01 15:31:25.463411","cid:org:pbs.org:Broadview-4040505","22",NULL,"SD","cid:org:pbs.org:Broadview-3191106","P100253-001 SD-Base CAPITOL FOURTH (2000), A","Manifestation",NULL,"Performance","TV","PT1H26M49S","Broadcast","Original","EN","Stereo","TV-G",False,"In Progress",NULL,False,"CAPITOL FOURTH (2000), A","P100253-001_SD-Base_CAPITOL FOURTH (2000), A",NULL,NULL,NULL,NULL,NULL,"[{""ContentID"": ""cid:org:pbs.org:PackageType:SD-Base""}, {""ContentID"": ""cid:org:pbs.org:PackageNumber:P100253-001""}, {""ContentID"": ""cid:org:pbs.org:Broadview-4040505""}, {""ContentID"": ""cid:org:pbs.org:PackageCode:SDBA""}]",NULL
"40532","2019-06-24 19:18:28.172972","2024-02-01 15:31:25.463411","cid:org:pbs.org:Broadview-4040509","23",NULL,"SD","cid:org:pbs.org:Broadview-3191107","P100254-001 SD-Base CAPITOL FOURTH (2002), A","Manifestation",NULL,"Performance","TV","PT1H26M49S","Broadcast","Original","EN","Stereo","TV-G",False,"In Progress",NULL,False,"CAPITOL FOURTH (2002), A","P100254-001_SD-Base_CAPITOL FOURTH (2002), A",NULL,NULL,NULL,NULL,NULL,"[{""ContentID"": ""cid:org:pbs.org:PackageType:SD-Base""}, {""ContentID"": ""cid:org:pbs.org:PackageNumber:P100254-001""}, {""ContentID"": ""cid:org:pbs.org:Broadview-4040509""}, {""ContentID"": ""cid:org:pbs.org:PackageCode:SDBA""}]",NULL
"147498","2019-06-24 20:59:14.066194","2024-02-01 15:31:25.463411","cid:org:pbs.org:Broadview-4040521","24",NULL,"SD","cid:org:pbs.org:Broadview-3191108","P100256-001 SD-Base AFGHANISTAN: CAPTIVES OF THE WARLORDS","Manifestation",NULL,"Performance","TV","PT0H56M46S","Broadcast","Original","EN","Stereo","TV-PG",False,"In Progress",NULL,False,"AFGHANISTAN: CAPTIVES OF THE WARLORDS","P100256-001_SD-Base_AFGHANISTAN: CAPTIVES OF THE WARLORDS",NULL,NULL,NULL,NULL,NULL,"[{""ContentID"": ""cid:org:pbs.org:PackageType:SD-Base""}, {""ContentID"": ""cid:org:pbs.org:PackageNumber:P100256-001""}, {""ContentID"": ""cid:org:pbs.org:Broadview-4040521""}, {""ContentID"": ""cid:org:pbs.org:PackageCode:SDBA""}]",NULL
