"uid","episode","manifestations"
5,"{""title"": ""AMERICA'S BATTLEGROUNDS"", ""eidrid"": ""10.5240/AE83-1365-A439-B06C-3663-W"", ""title19"": null, ""titlelong"": null, ""season_uid"": null, ""series_uid"": null, ""entity_type"": ""Episode"", ""episodeclass"": ""one-time-only"", ""keyword_mood"": null, ""primarygenre"": ""Public Affairs"", ""release_date"": ""1994-11-05T01:00:01"", ""synopsislong"": ""This program has at its heart the many conflicts that have shaped the history of the United States as a nation. Segments range in content from the Whiskey Rebellion to the Dred Scott court battle, the Civil War massacre of 400 black soldiers at Poison Springs and the last stand of Nez Perce Chief Joseph, to a civil rights struggle in Cairo, Illinois, in 1969. Each segment contains archival components as well as contemporary interviews."", ""keyword_theme"": ""War/Veterans/National Security|Documentary"", ""synopsisshort"": null, ""episode_number"": 0, ""secondarygenre"": null, ""countryoforigin"": null, ""keyword_general"": null, ""keyword_setting"": null, ""keyword_subject"": ""Blacks|Native Americans|Blacks|Native Americans|Civil Rights|American History|Illinois|Minnesota|Montana|Native Americans|Pittsburgh|Racism|Slavery|Civil War"", ""primary_language"": ""en"", ""published_status"": ""Externally Published"", ""approximate_length"": ""PT1H0M0S"", ""keyword_characters"": null, ""secondary_language"": null, ""distribution_number"": 1, ""keyword_time_period"": null}","[{""title"": ""P100091-001 SD-Base AMERICA'S BATTLEGROUNDS"", ""edit_use"": ""Broadcast"", ""video_ei"": false, ""edit_class"": ""Original"", ""video_hidef"": null, ""release_date"": null, ""actual_length"": ""PT0H56M46S"", ""published_status"": ""In Progress""}]"
6,"{""title"": ""Episode 1"", ""eidrid"": ""10.5240/8C5F-0B8A-3FAE-408F-1EA2-R"", ""title19"": null, ""titlelong"": null, ""season_uid"": 111, ""series_uid"": null, ""entity_type"": ""Episode"", ""episodeclass"": ""Main"", ""keyword_mood"": null, ""primarygenre"": ""Public Affairs"", ""release_date"": ""2004-02-04T02:00:00"", ""synopsislong"": ""In the first hour, Gates travels to Memphis, Birmingham and Atlanta - once the battlegrounds on which civil rights were won for black southerners in the 1950s and 60s. The very cities from which African Americans fled during the era of legal segregation are today drawing them back by the tens of thousands. But how much have these cities really changed since the civil rights era? Interviewees include Morgan Freeman and Maya Angelou."", ""keyword_theme"": ""American History/Biography|Minorities/Civil Rights|Documentary"", ""synopsisshort"": null, ""episode_number"": 101, ""secondarygenre"": null, ""countryoforigin"": null, ""keyword_general"": null, ""keyword_setting"": null, ""keyword_subject"": ""Blacks|Blacks|Atlanta|Racism|Segregation|South|African Americans|Race"", ""primary_language"": ""en"", ""published_status"": ""Externally Published"", ""approximate_length"": ""PT1H0M0S"", ""keyword_characters"": null, ""secondary_language"": null, ""distribution_number"": 1, ""keyword_time_period"": null}","[{""title"": ""P100103-001 SD-Stacked America Beyond the Color Line with Henry Louis Gates Jr."", ""edit_use"": ""Broadcast"", ""video_ei"": false, ""edit_class"": ""Main"", ""video_hidef"": null, ""release_date"": null, ""actual_length"": ""PT1H54M39S"", ""published_status"": ""In Progress""}, {""title"": ""P100102-001 SD-Base America Beyond the Color Line with Henry Louis Gates Jr."", ""edit_use"": ""Broadcast"", ""video_ei"": false, ""edit_class"": ""Original"", ""video_hidef"": null, ""release_date"": null, ""actual_length"": ""PT0H56M46S"", ""published_status"": ""Internally Published""}]"
7,"{""title"": ""Episode 2"", ""eidrid"": ""10.5240/ECBC-65B4-3D0C-CD08-8FA5-Y"", ""title19"": null, ""titlelong"": null, ""season_uid"": 111, ""series_uid"": null, ""entity_type"": ""Episode"", ""episodeclass"": ""Main"", ""keyword_mood"": null, ""primarygenre"": ""Public Affairs"", ""release_date"": ""2004-02-05T16:00:00"", ""synopsislong"": ""In the second hour, Gates goes inside the notorious housing projects in Chicago's South Side - the Robert Taylor and the Ida B. Wells - to find out from the people who live there what life is like for America's \""underclass.\"" \""What happened to the city of refuge my father's generation sought in the North, North where 'the streets of Heaven were paved with gold?',\"" wonders Gates. Caught up in a culture of criminality, poverty and despair, is there any hope for the fifth of black Americans who have been left behind?"", ""keyword_theme"": ""American History/Biography|Minorities/Civil Rights|Urban Development/Infrastructure|Documentary"", ""synopsisshort"": null, ""episode_number"": 102, ""secondarygenre"": null, ""countryoforigin"": null, ""keyword_general"": null, ""keyword_setting"": null, ""keyword_subject"": ""Blacks|Blacks|Chicago|Poverty|Prisons|African Americans"", ""primary_language"": ""en"", ""published_status"": ""Externally Published"", ""approximate_length"": ""PT1H0M0S"", ""keyword_characters"": null, ""secondary_language"": null, ""distribution_number"": 3, ""keyword_time_period"": null}","[{""title"": ""P100104-001 SD-Base America Beyond the Color Line with Henry Louis Gates Jr."", ""edit_use"": ""Broadcast"", ""video_ei"": false, ""edit_class"": ""Original"", ""video_hidef"": null, ""release_date"": null, ""actual_length"": ""PT0H56M45S"", ""published_status"": ""Internally Published""}]"
8,"{""title"": ""Episode 3"", ""eidrid"": ""10.5240/C2EF-3E17-2980-D060-7ADF-K"", ""title19"": null, ""titlelong"": null, ""season_uid"": 111, ""series_uid"": null, ""entity_type"": ""Episode"", ""episodeclass"": ""Main"", ""keyword_mood"": null, ""primarygenre"": ""Public Affairs"", ""release_date"": ""2004-02-05T02:00:00"", ""synopsislong"": ""The existence of a small group of African Americans at the heart of the political establishment and at the pinnacle of corporate America is something that, just two decades ago, seemed unimaginable. How did they get there and what is the significance of their success? Beginning in Harvard, Gates travels to Washington, DC, and New York to ask if this new black power elite represents genuine progress for black America as a whole. Interviewees include Colin Powell, Russell Simmons, Vernon Jordan, Franklin Raines and the first African-American chess grandmaster in history, Maurice Ashley."", ""keyword_theme"": ""Minorities/Civil Rights|National Politics/Government|Documentary"", ""synopsisshort"": null, ""episode_number"": 103, ""secondarygenre"": null, ""countryoforigin"": null, ""keyword_general"": null, ""keyword_setting"": null, ""keyword_subject"": ""Blacks|Blacks|Children|Government|Politics|Racism|African Americans|Music|Race"", ""primary_language"": ""en"", ""published_status"": ""Externally Published"", ""approximate_length"": ""PT1H0M0S"", ""keyword_characters"": null, ""secondary_language"": null, ""distribution_number"": 2, ""keyword_time_period"": null}","[{""title"": ""P100106-001 SD-Stacked America Beyond the Color Line with Henry Louis Gates Jr."", ""edit_use"": ""Broadcast"", ""video_ei"": false, ""edit_class"": ""Main"", ""video_hidef"": null, ""release_date"": null, ""actual_length"": ""PT1H54M39S"", ""published_status"": ""In Progress""}, {""title"": ""P100105-001 SD-Base America Beyond the Color Line with Henry Louis Gates Jr."", ""edit_use"": ""Broadcast"", ""video_ei"": false, ""edit_class"": ""Original"", ""video_hidef"": null, ""release_date"": null, ""actual_length"": ""PT0H56M46S"", ""published_status"": ""Internally Published""}]"
9,"{""title"": ""Episode 4"", ""eidrid"": ""10.5240/96A2-4CC1-AE75-3B24-1CEA-4"", ""title19"": null, ""titlelong"": null, ""season_uid"": 111, ""series_uid"": null, ""entity_type"": ""Episode"", ""episodeclass"": ""Main"", ""keyword_mood"": null, ""primarygenre"": ""Public Affairs"", ""release_date"": ""2004-02-05T18:00:00"", ""synopsislong"": ""Does the unprecedented success of African-American actors at the 2002 Oscars signal a genuine shift in the way race operates in the movie business? In the final hour, Gates asks whether Hollywood is institutionally racist or whether it is becoming increasingly color-blind in pursuit of the box office dollar. Interviewees include Chris Tucker, Samuel L. Jackson, Alicia Keys, Quincy Jones, Nia Long, Don Cheadle and John Singleton. "", ""keyword_theme"": ""Culture|Minorities/Civil Rights|Documentary"", ""synopsisshort"": null, ""episode_number"": 104, ""secondarygenre"": null, ""countryoforigin"": null, ""keyword_general"": null, ""keyword_setting"": null, ""keyword_subject"": ""Blacks|Blacks|Film Industry|Racism|African Americans|Music|Race"", ""primary_language"": ""en"", ""published_status"": ""Externally Published"", ""approximate_length"": ""PT1H0M0S"", ""keyword_characters"": null, ""secondary_language"": null, ""distribution_number"": 4, ""keyword_time_period"": null}","[{""title"": ""P100107-001 SD-Base America Beyond the Color Line with Henry Louis Gates Jr."", ""edit_use"": ""Broadcast"", ""video_ei"": false, ""edit_class"": ""Original"", ""video_hidef"": null, ""release_date"": null, ""actual_length"": ""PT0H56M45S"", ""published_status"": ""Internally Published""}]"
10,"{""title"": ""Show Must Go On, A Christmas in Mouseland (Angelina Ballerina), The"", ""eidrid"": null, ""title19"": null, ""titlelong"": null, ""season_uid"": null, ""series_uid"": null, ""entity_type"": ""Episode"", ""episodeclass"": ""one-time-only"", ""keyword_mood"": null, ""primarygenre"": ""Children's"", ""release_date"": ""2002-11-30T20:00:00"", ""synopsislong"": null, ""keyword_theme"": ""Youth|Other"", ""synopsisshort"": null, ""episode_number"": 0, ""secondarygenre"": null, ""countryoforigin"": null, ""keyword_general"": null, ""keyword_setting"": null, ""keyword_subject"": ""Family Issues|Holidays|Ballet|Dance|Animals|Animation|Emotions"", ""primary_language"": ""en"", ""published_status"": ""Externally Published"", ""approximate_length"": ""PT1H0M0S"", ""keyword_characters"": null, ""secondary_language"": null, ""distribution_number"": 1, ""keyword_time_period"": null}","[{""title"": ""P100108-001 SD-Pledge Show Must Go On, A Christmas in Mouseland (Angelina Ballerina), The"", ""edit_use"": ""Broadcast"", ""video_ei"": false, ""edit_class"": ""Main"", ""video_hidef"": null, ""release_date"": null, ""actual_length"": ""PT0H42M5S"", ""published_status"": ""In Progress""}, {""title"": ""P100109-001 SD-Pledge Event Show Must Go On, A Christmas in Mouseland (Angelina Ballerina), The"", ""edit_use"": ""Broadcast"", ""video_ei"": false, ""edit_class"": ""Main"", ""video_hidef"": null, ""release_date"": null, ""actual_length"": ""PT0H56M54S"", ""published_status"": ""In Progress""}]"
12,"{""title"": ""ANDREA BOCELLI: HOMECOMING"", ""eidrid"": null, ""title19"": null, ""titlelong"": null, ""season_uid"": null, ""series_uid"": null, ""entity_type"": ""Episode"", ""episodeclass"": ""one-time-only"", ""keyword_mood"": null, ""primarygenre"": ""Cultural"", ""release_date"": ""2020-04-14T20:00:00"", ""synopsislong"": null, ""keyword_theme"": ""Performance"", ""synopsisshort"": null, ""episode_number"": 0, ""secondarygenre"": null, ""countryoforigin"": null, ""keyword_general"": null, ""keyword_setting"": null, ""keyword_subject"": ""Classical Music|Folk Music|Italy|Arts|Rock/Pop Music|Music"", ""primary_language"": ""en"", ""published_status"": ""Externally Published"", ""approximate_length"": ""PT1H30M0S"", ""keyword_characters"": null, ""secondary_language"": null, ""distribution_number"": 1, ""keyword_time_period"": null}","[{""title"": ""P100115-001 SD-Not For Air ANDREA BOCELLI: HOMECOMING"", ""edit_use"": ""Broadcast"", ""video_ei"": false, ""edit_class"": ""Main"", ""video_hidef"": null, ""release_date"": null, ""actual_length"": ""PT1H2M53S"", ""published_status"": ""In Progress""}, {""title"": ""P100116-001 SD-Pledge ANDREA BOCELLI: HOMECOMING"", ""edit_use"": ""Broadcast"", ""video_ei"": false, ""edit_class"": ""Main"", ""video_hidef"": null, ""release_date"": null, ""actual_length"": ""PT1H4M8S"", ""published_status"": ""In Progress""}]"
13,"{""title"": ""ARE YOU BEING SERVED? MARATHON WITH MRS. SLOCOMBE, THE"", ""eidrid"": ""10.5240/B65E-BFA7-4F11-2F4B-72A5-Z"", ""title19"": null, ""titlelong"": null, ""season_uid"": null, ""series_uid"": null, ""entity_type"": ""Episode"", ""episodeclass"": ""one-time-only"", ""keyword_mood"": null, ""primarygenre"": ""Cultural"", ""release_date"": ""1977-07-31T20:00:00"", ""synopsislong"": ""A 3-hour live broadcast from Tempe, AZ, consisting primarily of THE BEST OF ARE YOU BEING SERVED? and Episode #201 of ARE YOU BEING SERVED? AGAIN! They will be interspersed with a series of national pledge breaks featuring John Inman (who played Mr. Humphreis on the series) joined with KAET staff."", ""keyword_theme"": ""Other|Performance"", ""synopsisshort"": null, ""episode_number"": 0, ""secondarygenre"": null, ""countryoforigin"": null, ""keyword_general"": null, ""keyword_setting"": null, ""keyword_subject"": ""Dramatic Comedy"", ""primary_language"": ""en"", ""published_status"": ""Externally Published"", ""approximate_length"": ""PT3H0M0S"", ""keyword_characters"": null, ""secondary_language"": null, ""distribution_number"": 1, ""keyword_time_period"": null}","[{""title"": ""P100117-001 SD-Base ARE YOU BEING SERVED? MARATHON WITH MRS. SLOCOMBE, THE"", ""edit_use"": ""Broadcast"", ""video_ei"": false, ""edit_class"": ""Original"", ""video_hidef"": null, ""release_date"": null, ""actual_length"": ""PT2H52M15S"", ""published_status"": ""In Progress""}]"
15,"{""title"": ""ABBEY LINCOLN, YOU GOTTA PAY THE BAND"", ""eidrid"": null, ""title19"": null, ""titlelong"": null, ""season_uid"": null, ""series_uid"": null, ""entity_type"": ""Episode"", ""episodeclass"": ""one-time-only"", ""keyword_mood"": null, ""primarygenre"": ""Cultural"", ""release_date"": ""1993-02-27T03:00:01"", ""synopsislong"": ""Legendary singer-actress Abbey Lincoln's multi-dimensional life story is told in this one-hour music documentary. This special spans her 40-year career and is filled with intimate recollections of her youth, her nightclub and film debut in the 1950s, her years as a political, socially aware activist in the 1960s, and her exciting resurgence in the 1980s as a definitive singer, writer and composer in the world of jazz. The late great jazzman Stan Getz, Tony Bennett, Ruth Brown, Spike Lee and Beau Bridges are among the notableS featured in exclusive interviews."", ""keyword_theme"": ""Culture/Arts|Documentary|Performance"", ""synopsisshort"": null, ""episode_number"": 0, ""secondarygenre"": ""Public Affairs"", ""countryoforigin"": null, ""keyword_general"": null, ""keyword_setting"": null, ""keyword_subject"": ""Blacks|Women|Blacks|Women|Film Industry|Jazz/Blues|Blacks|African Americans|Music"", ""primary_language"": ""en"", ""published_status"": ""Externally Published"", ""approximate_length"": ""PT1H0M0S"", ""keyword_characters"": null, ""secondary_language"": null, ""distribution_number"": 1, ""keyword_time_period"": null}","[{""title"": ""P100119-001 SD-Base ABBEY LINCOLN, YOU GOTTA PAY THE BAND"", ""edit_use"": ""Broadcast"", ""video_ei"": false, ""edit_class"": ""Original"", ""video_hidef"": null, ""release_date"": null, ""actual_length"": ""PT0H58M16S"", ""published_status"": ""In Progress""}]"
19,"{""title"": ""ABORTION PILL, THE"", ""eidrid"": null, ""title19"": null, ""titlelong"": null, ""season_uid"": null, ""series_uid"": null, ""entity_type"": ""Episode"", ""episodeclass"": ""one-time-only"", ""keyword_mood"": null, ""primarygenre"": ""Public Affairs"", ""release_date"": ""1997-01-04T02:00:01"", ""synopsislong"": ""RU486, better known as the \""abortion pill,\"" was intended to offer women a safe, quick and very private alternative to surgical abortions. Although the procedure can be applied at the very earliest stage of pregnancy, RU486 hasn't escaped the controversy between abortion rights opponents and supporters. This documentary profiles the people and issues involved in the international and national debate over RU486, and explains why, until recently, the drug was prevented from entering the United States."", ""keyword_theme"": ""Abortion|Documentary"", ""synopsisshort"": null, ""episode_number"": 0, ""secondarygenre"": null, ""countryoforigin"": null, ""keyword_general"": null, ""keyword_setting"": null, ""keyword_subject"": ""Women|Women|Abortion|Contraception|Drugs|Ethics|Women's Rights|Government|Health Care|Legal Issues|Medicine|Pregnancy|Religion|Women|FDA|Reproductive Issues"", ""primary_language"": ""en"", ""published_status"": ""Externally Published"", ""approximate_length"": ""PT1H0M0S"", ""keyword_characters"": null, ""secondary_language"": null, ""distribution_number"": 1, ""keyword_time_period"": null}","[{""title"": ""P199317-001 SD-Base ABORTION PILL, THE"", ""edit_use"": ""Broadcast"", ""video_ei"": false, ""edit_class"": ""Original"", ""video_hidef"": null, ""release_date"": null, ""actual_length"": ""PT0H56M46S"", ""published_status"": ""In Progress""}, {""title"": ""P100190-001 SD-Base ABORTION PILL, THE"", ""edit_use"": ""Broadcast"", ""video_ei"": false, ""edit_class"": ""Original"", ""video_hidef"": null, ""release_date"": null, ""actual_length"": ""PT0H56M47S"", ""published_status"": ""In Progress""}]"
20,"{""title"": ""Brief Flight: Hazel Ying Lee and the Women Who Flew Pursuit, A"", ""eidrid"": null, ""title19"": null, ""titlelong"": null, ""season_uid"": null, ""series_uid"": null, ""entity_type"": ""Episode"", ""episodeclass"": ""one-time-only"", ""keyword_mood"": null, ""primarygenre"": ""History"", ""release_date"": ""2003-05-12T03:00:00"", ""synopsislong"": ""This program tells the story of a Chinese woman's struggle to gain prominence as an aviator in the United States.  Hazel Lee began her flying in 1931 and later became America's first Chinese American woman pilot in the Women Airforce Service Pilots (WASPs).  The film also reveals for the first time, the circumstances of her untimely death in 1944. Narrated by Ming-Na."", ""keyword_theme"": ""Transportation|Women|War/Veterans/National Security|Documentary"", ""synopsisshort"": null, ""episode_number"": 0, ""secondarygenre"": null, ""countryoforigin"": null, ""keyword_general"": null, ""keyword_setting"": null, ""keyword_subject"": ""Asians|Women|Asians|Women|Asian Americans|Aviation|War|Women|World War II"", ""primary_language"": ""en"", ""published_status"": ""Externally Published"", ""approximate_length"": ""PT0H30M0S"", ""keyword_characters"": null, ""secondary_language"": null, ""distribution_number"": 1, ""keyword_time_period"": null}","[{""title"": ""P100192-001 SD-Base Brief Flight: Hazel Ying Lee and the Women Who Flew Pursuit, A"", ""edit_use"": ""Broadcast"", ""video_ei"": false, ""edit_class"": ""Original"", ""video_hidef"": null, ""release_date"": null, ""actual_length"": ""PT0H56M46S"", ""published_status"": ""In Progress""}]"
21,"{""title"": ""ABSOLUTE MONARCH, THE"", ""eidrid"": null, ""title19"": null, ""titlelong"": null, ""season_uid"": null, ""series_uid"": null, ""entity_type"": ""Episode"", ""episodeclass"": ""one-time-only"", ""keyword_mood"": null, ""primarygenre"": ""Cultural"", ""release_date"": ""1993-10-05T00:00:01"", ""synopsislong"": ""This program profiles the Sultan of Brunei, reputedly the richest man in the world, and the ruler of the tiny, immensely wealthy equatorial kingdom of Brunei. The Sultan of Brunei, an absolute monarch and 29th ruler of one of hte world's oldest dynasties, is also the country's political leader, and as head of the Islamic faith in his country, also its spiritual leader. His enormous wealth--estimated at three or four times that of King Fahd of Saudi Arabia or Queen Elizabeth--is the equivalent of earning a quarter of a million pounds an hour, day and night. British television personality Alan Whicker interviews the Sultan in this his first informal conversation with an emissary from the outside world. Whicker speaks with the Sultan about his $10 million contribution to Colonel Oliver North and the Contras and asks about persistent rumors that he bought Harrod's, London's venerable department store. He also joins the Sultan playing polo, worshiping in a great mosque, sailing, flying helicopters and driving Bentleys."", ""keyword_theme"": ""Documentary|Interview/Discussion/Review"", ""synopsisshort"": null, ""episode_number"": 0, ""secondarygenre"": ""Public Affairs"", ""countryoforigin"": null, ""keyword_general"": null, ""keyword_setting"": null, ""keyword_subject"": ""Asians|Women|Asians|Islam|Asia|Oil|Royalty|Brunei"", ""primary_language"": ""en"", ""published_status"": ""Externally Published"", ""approximate_length"": ""PT1H0M0S"", ""keyword_characters"": null, ""secondary_language"": null, ""distribution_number"": 1, ""keyword_time_period"": null}","[{""title"": ""P100193-001 SD-Base ABSOLUTE MONARCH, THE"", ""edit_use"": ""Broadcast"", ""video_ei"": false, ""edit_class"": ""Original"", ""video_hidef"": null, ""release_date"": null, ""actual_length"": ""PT0H48M47S"", ""published_status"": ""In Progress""}]"
22,"{""title"": ""CAPITOL FOURTH (2000), A"", ""eidrid"": null, ""title19"": null, ""titlelong"": null, ""season_uid"": null, ""series_uid"": null, ""entity_type"": ""Episode"", ""episodeclass"": ""one-time-only"", ""keyword_mood"": null, ""primarygenre"": ""Cultural"", ""release_date"": ""2000-07-05T00:00:00"", ""synopsislong"": ""For the new millennium, A CAPITOL FOURTH (2000) features an array of entertainers and a spectacular display of fireworks over the nation's capital. Barry Bostwick hosts this live broadcast from the West Lawn of the United States Capitol. Joining him are guest artists Ray Charles, James Galway, Audra McDonald, David Benoit (in a tribute to Charles Schultz), performing with the National Symphony Orchestra under the direction of Leonard Slatkin."", ""keyword_theme"": null, ""synopsisshort"": null, ""episode_number"": 0, ""secondarygenre"": null, ""countryoforigin"": null, ""keyword_general"": null, ""keyword_setting"": null, ""keyword_subject"": null, ""primary_language"": ""en"", ""published_status"": ""Externally Published"", ""approximate_length"": ""PT1H30M0S"", ""keyword_characters"": null, ""secondary_language"": null, ""distribution_number"": 1, ""keyword_time_period"": null}","[{""title"": ""P100253-001 SD-Base CAPITOL FOURTH (2000), A"", ""edit_use"": ""Broadcast"", ""video_ei"": false, ""edit_class"": ""Original"", ""video_hidef"": null, ""release_date"": null, ""actual_length"": ""PT1H26M49S"", ""published_status"": ""In Progress""}]"
23,"{""title"": ""CAPITOL FOURTH (2002), A"", ""eidrid"": null, ""title19"": null, ""titlelong"": null, ""season_uid"": null, ""series_uid"": null, ""entity_type"": ""Episode"", ""episodeclass"": ""one-time-only"", ""keyword_mood"": null, ""primarygenre"": ""Cultural"", ""release_date"": ""2002-07-04T20:00:00"", ""synopsislong"": ""Broadcast live from the West Lawn of the U.S. Capitol in Washington, DC, this annual holiday special offers viewers an exuberant musical celebration complete with a finale of fireworks over the Washington Monument. Joining host Barry Bostwick are Aretha Franklin, Chuck Berry, young jazz singer Jane Monheit, rising classical music star Russell Watson and other guest performers with the National Symphony Orchestra, led by premier pops conductor Erich Kunzel."", ""keyword_theme"": ""Event Coverage|Performance"", ""synopsisshort"": null, ""episode_number"": 0, ""secondarygenre"": null, ""countryoforigin"": null, ""keyword_general"": null, ""keyword_setting"": null, ""keyword_subject"": ""Blacks|Women|District of Columbia|American History|Holidays|Music"", ""primary_language"": ""en"", ""published_status"": ""Externally Published"", ""approximate_length"": ""PT1H30M0S"", ""keyword_characters"": null, ""secondary_language"": null, ""distribution_number"": 1, ""keyword_time_period"": null}","[{""title"": ""P100254-001 SD-Base CAPITOL FOURTH (2002), A"", ""edit_use"": ""Broadcast"", ""video_ei"": false, ""edit_class"": ""Original"", ""video_hidef"": null, ""release_date"": null, ""actual_length"": ""PT1H26M49S"", ""published_status"": ""In Progress""}]"
24,"{""title"": ""AFGHANISTAN: CAPTIVES OF THE WARLORDS"", ""eidrid"": null, ""title19"": null, ""titlelong"": null, ""season_uid"": null, ""series_uid"": null, ""entity_type"": ""Episode"", ""episodeclass"": ""one-time-only"", ""keyword_mood"": null, ""primarygenre"": ""Public Affairs"", ""release_date"": ""2001-06-02T01:00:00"", ""synopsislong"": ""As Afghanistan's extremist Taliban regime shocks the world by destroying ancient relics, fostering terrorism and denying cultural freedom, Emmy award-winning journalist Arthur Kent returns to Afghanistan alone, with a hidden camera. He compares the harsh reality of life for Afghans today with scenes from a bitter history of foreign interference and internal treachery."", ""keyword_theme"": ""Documentary"", ""synopsisshort"": null, ""episode_number"": 0, ""secondarygenre"": null, ""countryoforigin"": null, ""keyword_general"": null, ""keyword_setting"": null, ""keyword_subject"": ""Elderly|Disabled|Women|Children|Death|Government|Human Rights|Arms|Middle East|Refugees|Religion|Sexism|Trade|Violence|War|Afghanistan"", ""primary_language"": ""en"", ""published_status"": ""Externally Published"", ""approximate_length"": ""PT1H0M0S"", ""keyword_characters"": null, ""secondary_language"": null, ""distribution_number"": 1, ""keyword_time_period"": null}","[{""title"": ""P100256-001 SD-Base AFGHANISTAN: CAPTIVES OF THE WARLORDS"", ""edit_use"": ""Broadcast"", ""video_ei"": false, ""edit_class"": ""Original"", ""video_hidef"": null, ""release_date"": null, ""actual_length"": ""PT0H56M46S"", ""published_status"": ""In Progress""}]"
